01-07-2025 18:56:23.639 [main] [-] INFO  discovery-server-c.n.e.DefaultEurekaServerContext.initialize - Initializing ...
01-07-2025 18:56:23.640 [main] [-] INFO  discovery-server-c.n.eureka.cluster.PeerEurekaNodes.updatePeerEurekaNodes - Adding new peer nodes [http://localhost:8761/eureka/]
01-07-2025 18:56:23.663 [main] [-] INFO  discovery-server-c.n.d.p.DiscoveryJerseyProvider.<init> - Using JSON encoding codec LegacyJacksonJson
01-07-2025 18:56:23.663 [main] [-] INFO  discovery-server-c.n.d.p.DiscoveryJerseyProvider.<init> - Using JSON decoding codec LegacyJacksonJson
01-07-2025 18:56:23.663 [main] [-] INFO  discovery-server-c.n.d.p.DiscoveryJerseyProvider.<init> - Using XML encoding codec XStreamXml
01-07-2025 18:56:23.663 [main] [-] INFO  discovery-server-c.n.d.p.DiscoveryJerseyProvider.<init> - Using XML decoding codec XStreamXml
01-07-2025 18:56:23.685 [main] [-] INFO  discovery-server-c.n.eureka.cluster.PeerEurekaNodes.start - Replica node URL:  http://localhost:8761/eureka/
01-07-2025 18:56:23.690 [main] [-] INFO  discovery-server-c.n.e.r.AbstractInstanceRegistry.initRemoteRegionRegistry - Finished initializing remote region registries. All known remote regions: []
01-07-2025 18:56:23.691 [main] [-] INFO  discovery-server-c.n.e.DefaultEurekaServerContext.initialize - Initialized
01-07-2025 18:56:23.697 [main] [-] INFO  discovery-server-o.s.b.a.e.web.EndpointLinksResolver.<init> - Exposing 1 endpoint beneath base path '/actuator'
01-07-2025 18:56:23.730 [main] [-] INFO  discovery-server-o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application DISCOVERY-SERVER with eureka with status UP
01-07-2025 18:56:23.732 [main] [-] INFO  discovery-server-o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8761"]
01-07-2025 18:56:23.739 [Thread-9] [-] INFO  discovery-server-o.s.c.n.e.s.EurekaServerBootstrap.isAws - isAws returned false
01-07-2025 18:56:23.740 [Thread-9] [-] INFO  discovery-server-o.s.c.n.e.s.EurekaServerBootstrap.initEurekaServerContext - Initialized server context
01-07-2025 18:56:23.740 [Thread-9] [-] INFO  discovery-server-c.n.e.r.PeerAwareInstanceRegistryImpl.openForTraffic - Got 1 instances from neighboring DS node
01-07-2025 18:56:23.740 [Thread-9] [-] INFO  discovery-server-c.n.e.r.PeerAwareInstanceRegistryImpl.openForTraffic - Renew threshold is: 1
01-07-2025 18:56:23.740 [Thread-9] [-] INFO  discovery-server-c.n.e.r.PeerAwareInstanceRegistryImpl.openForTraffic - Changing status to UP
01-07-2025 18:56:23.742 [Thread-9] [-] INFO  discovery-server-o.s.c.n.e.s.EurekaServerInitializerConfiguration.lambda$start$0 - Started Eureka Server
01-07-2025 18:56:23.745 [main] [-] INFO  discovery-server-o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8761 (http) with context path '/'
01-07-2025 18:56:23.745 [main] [-] INFO  discovery-server-o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 8761
01-07-2025 18:56:23.759 [main] [-] INFO  discovery-server-c.p.l.d.DiscoveryEurekaServerApplication.logStarted - Started DiscoveryEurekaServerApplication in 6.717 seconds (process running for 7.071)
01-07-2025 18:57:23.742 [Eureka-EvictionTimer] [-] INFO  discovery-server-c.n.e.r.AbstractInstanceRegistry.run - Running the evict task with compensationTime 0ms
01-07-2025 18:58:23.744 [Eureka-EvictionTimer] [-] INFO  discovery-server-c.n.e.r.AbstractInstanceRegistry.run - Running the evict task with compensationTime 1ms
01-07-2025 18:59:23.743 [Eureka-EvictionTimer] [-] INFO  discovery-server-c.n.e.r.AbstractInstanceRegistry.run - Running the evict task with compensationTime 0ms
